Name of the Movie;IMDB;Critics(CRS);Dir_Nominated;Dir_Prized;Writ_Nominated;Writ_Prize;Act_Nominated;Acto_Prized;Action;Animation;Comedy;Drama;Other;G;PG;PG-13;R;Production Budget (PB);Box Office(US);;;;;;;;
Assasin's Creed;6;36;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;125000000;54645723;;;;;;;;
Doctor Strange;7,6;72;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;165000000;232597113;;;;;;;;
X-men. Apocalypse;7,1;52;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;178000000;155333829;;;;;;;;
The Promise;5,9;49;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;90000000;8100000;;;;;;;;
Deadpool;8;65;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;58000000;363024263;;;;;;;;
The Magnificent Seven;6,9;54;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;90000000;93381044;;;;;;;;
Captain America: Civil War;7,9;75;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;250000000;408080554;;;;;;;;
The Founder;7,2;66;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;7000000;12785093;;;;;;;;
Underworld: blood wars;5,8;23;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;35000000;30348260;;;;;;;;
Star Trek Beyond;7,1;68;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;185000000;158804470;;;;;;;;
Independence Day:Resurgence;5,3;32;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;165000000;103137295;;;;;;;;
Silence;7,3;79;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;46000000;7079191;;;;;;;;
Miss Sloane;7,3;63;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;13000000;3439171;;;;;;;;
Don't breathe;7,2;71;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;9900000;89210468;;;;;;;;
Batman vs Superman;6,7;44;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;250000000;330249062;;;;;;;;
Warcraft: the Beginning;7;32;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;160000000;47167650;;;;;;;;
The Girl on a Train;6,5;48;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;45000000;75311445;;;;;;;;
Resident Evil:The Final Chapter;5,6;49;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;40000000;26844692;;;;;;;;
Patriots Day;7,4;69;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;45000000;31856991;;;;;;;;
Allied;7,1;60;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;85000000;40069087;;;;;;;;
Captain Fantastic;7,9;72;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;5000000;5875006;;;;;;;;
Zootopia;8,1;78;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;150000000;341264012;;;;;;;;
Live by Night;6,4;49;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;108000000;10377558;;;;;;;;
Jason Bourne;6,7;58;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;120000000;162162120;;;;;;;;
A Monster Call;7,5;76;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;43000000;3730982;;;;;;;;
War Dogs;7,1;57;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;40000000;43017433;;;;;;;;
Office Christmas Party;5,8;42;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;45000000;54730514;;;;;;;;
The Accountant;7,4;51;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;44000000;86198014;;;;;;;;
Me Before you;7,4;51;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;20000000;56228651;;;;;;;;
The Legend of Tarzan;6,3;44;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;180000000;126585313;;;;;;;;
Ghostbusters;5,4;60;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;144000000;128344089;;;;;;;;
The Nice Guys;7,4;70;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;50000000;36247227;;;;;;;;
Hell or High Water;7,7;88;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;12000000;26862450;;;;;;;;
Deepwater;7,2;68;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;110000000;61284947;;;;;;;;
